year,city,country,avg_temp
1816,Bangkok,Thailand,25.96
1817,Bangkok,Thailand,25.83
1818,Bangkok,Thailand,26.48
1819,Bangkok,Thailand,25.90
1820,Bangkok,Thailand,26.42
1821,Bangkok,Thailand,26.81
1822,Bangkok,Thailand,26.93
1823,Bangkok,Thailand,26.78
1824,Bangkok,Thailand,
1825,Bangkok,Thailand,27.11
1826,Bangkok,Thailand,
1827,Bangkok,Thailand,
1828,Bangkok,Thailand,
1829,Bangkok,Thailand,
1830,Bangkok,Thailand,
1831,Bangkok,Thailand,
1832,Bangkok,Thailand,
1833,Bangkok,Thailand,26.83
1834,Bangkok,Thailand,26.82
1835,Bangkok,Thailand,25.89
1836,Bangkok,Thailand,26.36
1837,Bangkok,Thailand,25.84
1838,Bangkok,Thailand,27.08
1839,Bangkok,Thailand,26.59
1840,Bangkok,Thailand,26.83
1841,Bangkok,Thailand,27.58
1842,Bangkok,Thailand,26.88
1843,Bangkok,Thailand,26.89
1844,Bangkok,Thailand,26.39
1845,Bangkok,Thailand,26.13
1846,Bangkok,Thailand,26.55
1847,Bangkok,Thailand,26.18
1848,Bangkok,Thailand,26.52
1849,Bangkok,Thailand,26.62
1850,Bangkok,Thailand,26.72
1851,Bangkok,Thailand,26.85
1852,Bangkok,Thailand,26.67
1853,Bangkok,Thailand,26.94
1854,Bangkok,Thailand,26.94
1855,Bangkok,Thailand,26.84
1856,Bangkok,Thailand,26.56
1857,Bangkok,Thailand,26.72
1858,Bangkok,Thailand,26.95
1859,Bangkok,Thailand,26.88
1860,Bangkok,Thailand,26.65
1861,Bangkok,Thailand,26.59
1862,Bangkok,Thailand,25.37
1863,Bangkok,Thailand,26.61
1864,Bangkok,Thailand,26.49
1865,Bangkok,Thailand,26.93
1866,Bangkok,Thailand,27.04
1867,Bangkok,Thailand,26.84
1868,Bangkok,Thailand,26.92
1869,Bangkok,Thailand,26.35
1870,Bangkok,Thailand,26.40
1871,Bangkok,Thailand,26.75
1872,Bangkok,Thailand,26.88
1873,Bangkok,Thailand,26.99
1874,Bangkok,Thailand,26.91
1875,Bangkok,Thailand,26.54
1876,Bangkok,Thailand,26.50
1877,Bangkok,Thailand,27.09
1878,Bangkok,Thailand,27.58
1879,Bangkok,Thailand,26.95
1880,Bangkok,Thailand,26.83
1881,Bangkok,Thailand,27.03
1882,Bangkok,Thailand,26.85
1883,Bangkok,Thailand,26.70
1884,Bangkok,Thailand,26.50
1885,Bangkok,Thailand,26.97
1886,Bangkok,Thailand,26.87
1887,Bangkok,Thailand,26.62
1888,Bangkok,Thailand,27.12
1889,Bangkok,Thailand,27.21
1890,Bangkok,Thailand,26.78
1891,Bangkok,Thailand,27.13
1892,Bangkok,Thailand,26.59
1893,Bangkok,Thailand,26.37
1894,Bangkok,Thailand,26.68
1895,Bangkok,Thailand,27.05
1896,Bangkok,Thailand,27.15
1897,Bangkok,Thailand,27.19
1898,Bangkok,Thailand,26.83
1899,Bangkok,Thailand,26.84
1900,Bangkok,Thailand,27.36
1901,Bangkok,Thailand,27.28
1902,Bangkok,Thailand,27.19
1903,Bangkok,Thailand,27.14
1904,Bangkok,Thailand,26.51
1905,Bangkok,Thailand,27.22
1906,Bangkok,Thailand,27.48
1907,Bangkok,Thailand,26.80
1908,Bangkok,Thailand,26.89
1909,Bangkok,Thailand,26.98
1910,Bangkok,Thailand,26.95
1911,Bangkok,Thailand,27.14
1912,Bangkok,Thailand,27.24
1913,Bangkok,Thailand,27.09
1914,Bangkok,Thailand,27.28
1915,Bangkok,Thailand,27.27
1916,Bangkok,Thailand,26.82
1917,Bangkok,Thailand,26.77
1918,Bangkok,Thailand,26.78
1919,Bangkok,Thailand,27.51
1920,Bangkok,Thailand,27.23
1921,Bangkok,Thailand,26.89
1922,Bangkok,Thailand,27.14
1923,Bangkok,Thailand,26.91
1924,Bangkok,Thailand,27.04
1925,Bangkok,Thailand,26.91
1926,Bangkok,Thailand,27.49
1927,Bangkok,Thailand,27.07
1928,Bangkok,Thailand,27.13
1929,Bangkok,Thailand,26.96
1930,Bangkok,Thailand,27.16
1931,Bangkok,Thailand,27.65
1932,Bangkok,Thailand,27.17
1933,Bangkok,Thailand,27.37
1934,Bangkok,Thailand,27.00
